python llava/eval/model_sqa3d.py --num-chunks 1 --question-file /data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d.json --video-folder /data/SceneUnderstanding/ScanNet/scans/ --answers-file /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json --chunk-idx 0 --model-path /data/SceneUnderstanding/checkpoints/LLaVA-3D-7B/
python llava/eval/sqa3d_evaluator.py --pred-json /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json --gt-json /data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d_answers.json --num-chunks 1 --chunk-idx 0 >> /data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_output-rerun.txt
Namespace(pred_json=['/data/SceneUnderstanding/SU_cursor/LLaVA-3D//experiments/SQA3D/em1_below_35/SQA_em1-below-35_formatted_LLaVa3d_pred-answers-rerun.json'], gt_json='/data/SceneUnderstanding/7792397/ScanQA_format/SQA_em1-below-35_formatted_LLaVa3d_answers.json', num_chunks=1, chunk_idx=[0], use_enhanced_normalization=False, use_openai_evaluation=False)
Total samples: 424
pred_answer: white gt_answers: tan
pred_answer: thereare2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2printers2 gt_answers: two
pred_answer: shower gt_answers: sink
pred_answer: down gt_answers: down
pred_answer: bucket gt_answers: bucket
pred_answer: round gt_answers: round
pred_answer: left gt_answers: right
pred_answer: even gt_answers: even
pred_answer: mat gt_answers: rug
pred_answer: 4 gt_answers: five
pred_answer: shelf gt_answers: toilet
pred_answer: bathtub gt_answers: bathtub
pred_answer: right gt_answers: right
pred_answer: yes gt_answers: no
pred_answer: yes gt_answers: yes
pred_answer: yes gt_answers: no
pred_answer: showercurtain gt_answers: handicapbar
pred_answer: partiallyclosed gt_answers: partially
pred_answer: yes gt_answers: no
pred_answer: toleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleftofleft gt_answers: behind
pred_answer: left gt_answers: left
pred_answer: white gt_answers: brown
pred_answer: yes gt_answers: no
pred_answer: yes gt_answers: yes
pred_answer: no gt_answers: no
pred_answer: bathtub gt_answers: bathroomcabinet
pred_answer: open gt_answers: unknown
pred_answer: yes gt_answers: yes
pred_answer: right gt_answers: right
pred_answer: no gt_answers: no
pred_answer: towel gt_answers: towels
pred_answer: bathtub gt_answers: toiletpaperholder
pred_answer: 4 gt_answers: two
pred_answer: 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 gt_answers: four
pred_answer: no gt_answers: no
pred_answer: bathtub gt_answers: toilet
pred_answer: shelf gt_answers: printer
pred_answer: right gt_answers: forward
pred_answer: 4 gt_answers: two
pred_answer: 2 gt_answers: two
pred_answer: mirror gt_answers: mirror
pred_answer: 2 gt_answers: two
pred_answer: even gt_answers: odd
pred_answer: rectangular gt_answers: rectangle
pred_answer: even gt_answers: even
pred_answer: mat gt_answers: bathroomcabinet
